PROVINCIA,age,year_test,cases_p
ICA,c. >60,2020,2433
ICA,c. >60,2021,2155
ILO,a. <40,2020,2264
ILO,a. <40,2021,2815
ILO,b. 40-60,2020,1629
ILO,b. 40-60,2021,1616
ILO,c. >60,2020,699
ILO,c. >60,2021,708
ISLAY,a. <40,2020,796
ISLAY,a. <40,2021,1017
ISLAY,b. 40-60,2020,642
ISLAY,b. 40-60,2021,730
ISLAY,c. >60,2020,337
ISLAY,c. >60,2021,336
JAEN,a. <40,2020,4229
JAEN,a. <40,2021,4934
JAEN,b. 40-60,2020,2472
JAEN,b. 40-60,2021,2848
JAEN,c. >60,2020,1340
JAEN,c. >60,2021,1345
JAUJA,a. <40,2020,552
JAUJA,a. <40,2021,2092
JAUJA,b. 40-60,2020,345
JAUJA,b. 40-60,2021,1408
JAUJA,c. >60,2020,179
JAUJA,c. >60,2021,832
JORGE BASADRE,a. <40,2020,230
JORGE BASADRE,a. <40,2021,274
JORGE BASADRE,b. 40-60,2020,129
JORGE BASADRE,b. 40-60,2021,188
JORGE BASADRE,c. >60,2020,47
JORGE BASADRE,c. >60,2021,51
JULCAN,a. <40,2020,63
JULCAN,a. <40,2021,140
JULCAN,b. 40-60,2020,38
JULCAN,b. 40-60,2021,125
JULCAN,c. >60,2020,30
JULCAN,c. >60,2021,98
JUNIN,a. <40,2020,253
JUNIN,a. <40,2021,424
JUNIN,b. 40-60,2020,181
JUNIN,b. 40-60,2021,306
JUNIN,c. >60,2020,111
JUNIN,c. >60,2021,176
LA CONVENCION,a. <40,2020,1877
LA CONVENCION,a. <40,2021,4421
LA CONVENCION,b. 40-60,2020,1081
LA CONVENCION,b. 40-60,2021,2651
LA CONVENCION,c. >60,2020,409
LA CONVENCION,c. >60,2021,1035
LA MAR,a. <40,2020,559
LA MAR,a. <40,2021,824
LA MAR,b. 40-60,2020,262
LA MAR,b. 40-60,2021,551
LA MAR,c. >60,2020,107
LA MAR,c. >60,2021,198
LA UNION,a. <40,2020,39
LA UNION,a. <40,2021,200
LA UNION,b. 40-60,2020,13
LA UNION,b. 40-60,2021,163
LA UNION,c. >60,2020,7
LA UNION,c. >60,2021,118
LAMAS,a. <40,2020,1103
LAMAS,a. <40,2021,708
LAMAS,b. 40-60,2020,594
LAMAS,b. 40-60,2021,425
LAMAS,c. >60,2020,328
LAMAS,c. >60,2021,255
LAMBAYEQUE,a. <40,2020,3318
LAMBAYEQUE,a. <40,2021,2368
LAMBAYEQUE,b. 40-60,2020,2298
LAMBAYEQUE,b. 40-60,2021,1603
LAMBAYEQUE,c. >60,2020,1170
LAMBAYEQUE,c. >60,2021,782
LAMPA,a. <40,2020,285
LAMPA,a. <40,2021,492
LAMPA,b. 40-60,2020,202
LAMPA,b. 40-60,2021,324
LAMPA,c. >60,2020,77
LAMPA,c. >60,2021,174
LAURICOCHA,a. <40,2020,42
LAURICOCHA,a. <40,2021,69
LAURICOCHA,b. 40-60,2020,13
LAURICOCHA,b. 40-60,2021,52
LAURICOCHA,c. >60,2020,4
LAURICOCHA,c. >60,2021,34
LEONCIO PRADO,a. <40,2020,886
LEONCIO PRADO,a. <40,2021,566
LEONCIO PRADO,b. 40-60,2020,500
LEONCIO PRADO,b. 40-60,2021,397
LEONCIO PRADO,c. >60,2020,264
LEONCIO PRADO,c. >60,2021,221
LIMA,a. <40,2020,183719
LIMA,a. <40,2021,256631
LIMA,b. 40-60,2020,136674
LIMA,b. 40-60,2021,156533
LIMA,c. >60,2020,66739
LIMA,c. >60,2021,73043
LORETO,a. <40,2020,2056
LORETO,a. <40,2021,504
LORETO,b. 40-60,2020,828
LORETO,b. 40-60,2021,288
LORETO,c. >60,2020,416
LORETO,c. >60,2021,126
LUCANAS,a. <40,2020,397
LUCANAS,a. <40,2021,564
LUCANAS,b. 40-60,2020,234
LUCANAS,b. 40-60,2021,411
LUCANAS,c. >60,2020,139
LUCANAS,c. >60,2021,280
LUYA,a. <40,2020,303
LUYA,a. <40,2021,605
LUYA,b. 40-60,2020,92
LUYA,b. 40-60,2021,308
LUYA,c. >60,2020,57
LUYA,c. >60,2021,172
MANU,a. <40,2020,367
MANU,a. <40,2021,167
MANU,b. 40-60,2020,207
MANU,b. 40-60,2021,126
MANU,c. >60,2020,42
MANU,c. >60,2021,59
MARAÑON,a. <40,2020,192
MARAÑON,a. <40,2021,22
MARAÑON,b. 40-60,2020,72
MARAÑON,b. 40-60,2021,23
MARAÑON,c. >60,2020,23
MARAÑON,c. >60,2021,18
MARISCAL CACERES,a. <40,2020,1039
MARISCAL CACERES,a. <40,2021,475
MARISCAL CACERES,b. 40-60,2020,506
MARISCAL CACERES,b. 40-60,2021,255
MARISCAL CACERES,c. >60,2020,232
MARISCAL CACERES,c. >60,2021,126
MARISCAL LUZURIAGA,a. <40,2020,100
MARISCAL LUZURIAGA,a. <40,2021,88
MARISCAL LUZURIAGA,b. 40-60,2020,46
MARISCAL LUZURIAGA,b. 40-60,2021,68
MARISCAL LUZURIAGA,c. >60,2020,26
MARISCAL LUZURIAGA,c. >60,2021,48
MARISCAL NIETO,a. <40,2020,5061
MARISCAL NIETO,a. <40,2021,5251
MARISCAL NIETO,b. 40-60,2020,4006
MARISCAL NIETO,b. 40-60,2021,2964
MARISCAL NIETO,c. >60,2020,1650
MARISCAL NIETO,c. >60,2021,474
MARISCAL RAMON CASTILLA,a. <40,2020,830
MARISCAL RAMON CASTILLA,a. <40,2021,576
MARISCAL RAMON CASTILLA,b. 40-60,2020,344
MARISCAL RAMON CASTILLA,b. 40-60,2021,322
MARISCAL RAMON CASTILLA,c. >60,2020,173
MARISCAL RAMON CASTILLA,c. >60,2021,131
MAYNAS,a. <40,2020,7259
MAYNAS,a. <40,2021,6170
MAYNAS,b. 40-60,2020,4238
MAYNAS,b. 40-60,2021,4583
MAYNAS,c. >60,2020,1816
MAYNAS,c. >60,2021,2072
MELGAR,a. <40,2020,406
MELGAR,a. <40,2021,731
MELGAR,b. 40-60,2020,251
MELGAR,b. 40-60,2021,542
MELGAR,c. >60,2020,81
MELGAR,c. >60,2021,216
MOHO,a. <40,2020,49
MOHO,a. <40,2021,27
MOHO,b. 40-60,2020,34
MOHO,b. 40-60,2021,29
MOHO,c. >60,2020,45
MOHO,c. >60,2021,35
MORROPON,a. <40,2020,834
MORROPON,a. <40,2021,1297
MORROPON,b. 40-60,2020,559
MORROPON,b. 40-60,2021,856
MORROPON,c. >60,2020,388
MORROPON,c. >60,2021,474
MOYOBAMBA,a. <40,2020,2006
MOYOBAMBA,a. <40,2021,3047
MOYOBAMBA,b. 40-60,2020,933
MOYOBAMBA,b. 40-60,2021,1509
MOYOBAMBA,c. >60,2020,399
MOYOBAMBA,c. >60,2021,847
NAZCA,a. <40,2020,1289
NAZCA,a. <40,2021,893
NAZCA,b. 40-60,2020,847
NAZCA,b. 40-60,2021,579
NAZCA,c. >60,2020,325
NAZCA,c. >60,2021,184
OCROS,a. <40,2020,46
OCROS,a. <40,2021,105
OCROS,b. 40-60,2020,18
OCROS,b. 40-60,2021,60
OCROS,c. >60,2020,18
OCROS,c. >60,2021,57
OTUZCO,a. <40,2020,434
OTUZCO,a. <40,2021,662
OTUZCO,b. 40-60,2020,268
OTUZCO,b. 40-60,2021,479
OTUZCO,c. >60,2020,155
OTUZCO,c. >60,2021,304
OXAPAMPA,a. <40,2020,959
OXAPAMPA,a. <40,2021,3386
OXAPAMPA,b. 40-60,2020,495
OXAPAMPA,b. 40-60,2021,1873
OXAPAMPA,c. >60,2020,183
OXAPAMPA,c. >60,2021,728
OYON,a. <40,2020,62
OYON,a. <40,2021,199
OYON,b. 40-60,2020,31
OYON,b. 40-60,2021,116
OYON,c. >60,2020,16
OYON,c. >60,2021,64
PACASMAYO,a. <40,2020,752
PACASMAYO,a. <40,2021,1562
PACASMAYO,b. 40-60,2020,521
PACASMAYO,b. 40-60,2021,1120
PACASMAYO,c. >60,2020,320
PACASMAYO,c. >60,2021,627
PACHITEA,a. <40,2020,256
PACHITEA,a. <40,2021,136
PACHITEA,b. 40-60,2020,86
PACHITEA,b. 40-60,2021,62
PACHITEA,c. >60,2020,38
PACHITEA,c. >60,2021,38
PADRE ABAD,a. <40,2020,954
PADRE ABAD,a. <40,2021,676
PADRE ABAD,b. 40-60,2020,500
PADRE ABAD,b. 40-60,2021,388
PADRE ABAD,c. >60,2020,204
PADRE ABAD,c. >60,2021,170
PAITA,a. <40,2020,2101
PAITA,a. <40,2021,2249
PAITA,b. 40-60,2020,1371
PAITA,b. 40-60,2021,1197
PAITA,c. >60,2020,726
PAITA,c. >60,2021,533
PALLASCA,a. <40,2020,40
PALLASCA,a. <40,2021,433
PALLASCA,b. 40-60,2020,25
PALLASCA,b. 40-60,2021,218
PALLASCA,c. >60,2020,18
PALLASCA,c. >60,2021,165
PALPA,a. <40,2020,649
PALPA,a. <40,2021,473
PALPA,b. 40-60,2020,335
PALPA,b. 40-60,2021,276
PALPA,c. >60,2020,153
PALPA,c. >60,2021,147
PARINACOCHAS,a. <40,2020,325
PARINACOCHAS,a. <40,2021,511
PARINACOCHAS,b. 40-60,2020,235
PARINACOCHAS,b. 40-60,2021,350
PARINACOCHAS,c. >60,2020,202
PARINACOCHAS,c. >60,2021,245
PARURO,a. <40,2020,60
PARURO,a. <40,2021,175
PARURO,b. 40-60,2020,29
PARURO,b. 40-60,2021,148
PARURO,c. >60,2020,19
PARURO,c. >60,2021,90
PASCO,a. <40,2020,2302
PASCO,a. <40,2021,1818
PASCO,b. 40-60,2020,1388
PASCO,b. 40-60,2021,1120
PASCO,c. >60,2020,465
PASCO,c. >60,2021,430
PATAZ,a. <40,2020,446
PATAZ,a. <40,2021,429
PATAZ,b. 40-60,2020,251
PATAZ,b. 40-60,2021,184
PATAZ,c. >60,2020,67
PATAZ,c. >60,2021,90
PAUCAR DEL SARA SARA,a. <40,2020,95
PAUCAR DEL SARA SARA,a. <40,2021,386
PAUCAR DEL SARA SARA,b. 40-60,2020,60
PAUCAR DEL SARA SARA,b. 40-60,2021,250
PAUCAR DEL SARA SARA,c. >60,2020,35
PAUCAR DEL SARA SARA,c. >60,2021,158
PAUCARTAMBO,a. <40,2020,101
PAUCARTAMBO,a. <40,2021,318
PAUCARTAMBO,b. 40-60,2020,59
PAUCARTAMBO,b. 40-60,2021,204
PAUCARTAMBO,c. >60,2020,15
PAUCARTAMBO,c. >60,2021,98
PICOTA,a. <40,2020,497
PICOTA,a. <40,2021,459
PICOTA,b. 40-60,2020,214
PICOTA,b. 40-60,2021,313
PICOTA,c. >60,2020,125
PICOTA,c. >60,2021,163
PISCO,a. <40,2020,3170
PISCO,a. <40,2021,2686
PISCO,b. 40-60,2020,1885
PISCO,b. 40-60,2021,1575
PISCO,c. >60,2020,775
PISCO,c. >60,2021,644
PIURA,a. <40,2020,10101
PIURA,a. <40,2021,14545
PIURA,b. 40-60,2020,7050
PIURA,b. 40-60,2021,7668
PIURA,c. >60,2020,3237
PIURA,c. >60,2021,3438
POMABAMBA,a. <40,2020,213
POMABAMBA,a. <40,2021,438
POMABAMBA,b. 40-60,2020,89
POMABAMBA,b. 40-60,2021,263
POMABAMBA,c. >60,2020,53
POMABAMBA,c. >60,2021,195
PUERTO INCA,a. <40,2020,697
PUERTO INCA,a. <40,2021,771
PUERTO INCA,b. 40-60,2020,361
PUERTO INCA,b. 40-60,2021,428
PUERTO INCA,c. >60,2020,158
PUERTO INCA,c. >60,2021,234
PUNO,a. <40,2020,3034
PUNO,a. <40,2021,4499
PUNO,b. 40-60,2020,2325
PUNO,b. 40-60,2021,2775
PUNO,c. >60,2020,752
PUNO,c. >60,2021,1294
PURUS,a. <40,2020,174
PURUS,a. <40,2021,35
PURUS,b. 40-60,2020,136
PURUS,b. 40-60,2021,34
PURUS,c. >60,2020,41
PURUS,c. >60,2021,15
PUTUMAYO,a. <40,2020,798
PUTUMAYO,a. <40,2021,52
PUTUMAYO,b. 40-60,2020,278
PUTUMAYO,b. 40-60,2021,29
PUTUMAYO,c. >60,2020,115
PUTUMAYO,c. >60,2021,23
QUISPICANCHI,a. <40,2020,357
QUISPICANCHI,a. <40,2021,1151
QUISPICANCHI,b. 40-60,2020,231
QUISPICANCHI,b. 40-60,2021,745
QUISPICANCHI,c. >60,2020,101
QUISPICANCHI,c. >60,2021,309
RECUAY,a. <40,2020,144
RECUAY,a. <40,2021,458
RECUAY,b. 40-60,2020,109
RECUAY,b. 40-60,2021,252
RECUAY,c. >60,2020,71
RECUAY,c. >60,2021,134
REQUENA,a. <40,2020,940
REQUENA,a. <40,2021,384
REQUENA,b. 40-60,2020,377
REQUENA,b. 40-60,2021,244
REQUENA,c. >60,2020,216
REQUENA,c. >60,2021,162
RIOJA,a. <40,2020,1880
RIOJA,a. <40,2021,1685
RIOJA,b. 40-60,2020,794
RIOJA,b. 40-60,2021,959
RIOJA,c. >60,2020,367
RIOJA,c. >60,2021,560
RODRIGUEZ DE MENDOZA,a. <40,2020,62
RODRIGUEZ DE MENDOZA,a. <40,2021,609
RODRIGUEZ DE MENDOZA,b. 40-60,2020,26
RODRIGUEZ DE MENDOZA,b. 40-60,2021,382
RODRIGUEZ DE MENDOZA,c. >60,2020,22
RODRIGUEZ DE MENDOZA,c. >60,2021,186
SAN ANTONIO DE PUTINA,a. <40,2020,173
SAN ANTONIO DE PUTINA,a. <40,2021,204
SAN ANTONIO DE PUTINA,b. 40-60,2020,88
SAN ANTONIO DE PUTINA,b. 40-60,2021,142
SAN ANTONIO DE PUTINA,c. >60,2020,27
SAN ANTONIO DE PUTINA,c. >60,2021,63
SAN IGNACIO,a. <40,2020,1256
SAN IGNACIO,a. <40,2021,1332
SAN IGNACIO,b. 40-60,2020,690
SAN IGNACIO,b. 40-60,2021,921
SAN IGNACIO,c. >60,2020,386
SAN IGNACIO,c. >60,2021,507
SAN MARCOS,a. <40,2020,136
SAN MARCOS,a. <40,2021,295
SAN MARCOS,b. 40-60,2020,75
SAN MARCOS,b. 40-60,2021,197
SAN MARCOS,c. >60,2020,51
SAN MARCOS,c. >60,2021,200
SAN MARTIN,a. <40,2020,4216
SAN MARTIN,a. <40,2021,4179
SAN MARTIN,b. 40-60,2020,2662
SAN MARTIN,b. 40-60,2021,2548
SAN MARTIN,c. >60,2020,1234
SAN MARTIN,c. >60,2021,1147
SAN MIGUEL,a. <40,2020,151
SAN MIGUEL,a. <40,2021,347
SAN MIGUEL,b. 40-60,2020,122
SAN MIGUEL,b. 40-60,2021,301
SAN MIGUEL,c. >60,2020,68
SAN MIGUEL,c. >60,2021,211
SAN PABLO,a. <40,2020,89
SAN PABLO,a. <40,2021,192
SAN PABLO,b. 40-60,2020,49
SAN PABLO,b. 40-60,2021,110
SAN PABLO,c. >60,2020,26
SAN PABLO,c. >60,2021,89
SAN ROMAN,a. <40,2020,3597
SAN ROMAN,a. <40,2021,3024
SAN ROMAN,b. 40-60,2020,2553
SAN ROMAN,b. 40-60,2021,2148
SAN ROMAN,c. >60,2020,936
SAN ROMAN,c. >60,2021,919
SANCHEZ CARRION,a. <40,2020,946
SANCHEZ CARRION,a. <40,2021,1119
SANCHEZ CARRION,b. 40-60,2020,483
SANCHEZ CARRION,b. 40-60,2021,616
SANCHEZ CARRION,c. >60,2020,203
SANCHEZ CARRION,c. >60,2021,316
SANDIA,a. <40,2020,209
SANDIA,a. <40,2021,171
SANDIA,b. 40-60,2020,99
SANDIA,b. 40-60,2021,141
SANDIA,c. >60,2020,49
SANDIA,c. >60,2021,69
SANTA,a. <40,2020,7972
SANTA,a. <40,2021,12360
SANTA,b. 40-60,2020,5985
SANTA,b. 40-60,2021,8749
SANTA,c. >60,2020,3252
SANTA,c. >60,2021,4458
SANTA CRUZ,a. <40,2020,182
SANTA CRUZ,a. <40,2021,236
SANTA CRUZ,b. 40-60,2020,96
SANTA CRUZ,b. 40-60,2021,196
SANTA CRUZ,c. >60,2020,66
SANTA CRUZ,c. >60,2021,145
SANTIAGO DE CHUCO,a. <40,2020,306
SANTIAGO DE CHUCO,a. <40,2021,277
SANTIAGO DE CHUCO,b. 40-60,2020,140
SANTIAGO DE CHUCO,b. 40-60,2021,216
SANTIAGO DE CHUCO,c. >60,2020,86
SANTIAGO DE CHUCO,c. >60,2021,142
SATIPO,a. <40,2020,2717
SATIPO,a. <40,2021,4284
SATIPO,b. 40-60,2020,1021
SATIPO,b. 40-60,2021,2305
SATIPO,c. >60,2020,376
SATIPO,c. >60,2021,956
SECHURA,a. <40,2020,539
SECHURA,a. <40,2021,1099
SECHURA,b. 40-60,2020,373
SECHURA,b. 40-60,2021,552
SECHURA,c. >60,2020,150
SECHURA,c. >60,2021,227
SIHUAS,a. <40,2020,108
SIHUAS,a. <40,2021,506
SIHUAS,b. 40-60,2020,77
SIHUAS,b. 40-60,2021,356
SIHUAS,c. >60,2020,65
SIHUAS,c. >60,2021,252
SUCRE,a. <40,2020,19
SUCRE,a. <40,2021,389
SUCRE,b. 40-60,2020,11
SUCRE,b. 40-60,2021,256
SUCRE,c. >60,2020,6
SUCRE,c. >60,2021,112
SULLANA,a. <40,2020,4565
SULLANA,a. <40,2021,4972
SULLANA,b. 40-60,2020,3139
SULLANA,b. 40-60,2021,3314
SULLANA,c. >60,2020,1623
SULLANA,c. >60,2021,1603
TACNA,a. <40,2020,6718
TACNA,a. <40,2021,8465
TACNA,b. 40-60,2020,4923
TACNA,b. 40-60,2021,5729
TACNA,c. >60,2020,2004
TACNA,c. >60,2021,2133
TAHUAMANU,a. <40,2020,614
TAHUAMANU,a. <40,2021,377
TAHUAMANU,b. 40-60,2020,290
TAHUAMANU,b. 40-60,2021,225
TAHUAMANU,c. >60,2020,120
TAHUAMANU,c. >60,2021,86
TALARA,a. <40,2020,1657
TALARA,a. <40,2021,1396
TALARA,b. 40-60,2020,1404
TALARA,b. 40-60,2021,763
TALARA,c. >60,2020,699
TALARA,c. >60,2021,335
TAMBOPATA,a. <40,2020,4541
TAMBOPATA,a. <40,2021,1946
TAMBOPATA,b. 40-60,2020,2403
TAMBOPATA,b. 40-60,2021,1182
TAMBOPATA,c. >60,2020,914
TAMBOPATA,c. >60,2021,386
TARATA,a. <40,2020,50
TARATA,a. <40,2021,52
TARATA,b. 40-60,2020,55
TARATA,b. 40-60,2021,49
TARATA,c. >60,2020,35
TARATA,c. >60,2021,30
TARMA,a. <40,2020,573
TARMA,a. <40,2021,1833
TARMA,b. 40-60,2020,430
TARMA,b. 40-60,2021,1132
TARMA,c. >60,2020,235
TARMA,c. >60,2021,680
TAYACAJA,a. <40,2020,691
TAYACAJA,a. <40,2021,1017
TAYACAJA,b. 40-60,2020,325
TAYACAJA,b. 40-60,2021,573
TAYACAJA,c. >60,2020,151
TAYACAJA,c. >60,2021,355
TOCACHE,a. <40,2020,1293
TOCACHE,a. <40,2021,978
TOCACHE,b. 40-60,2020,588
TOCACHE,b. 40-60,2021,609
TOCACHE,c. >60,2020,301
TOCACHE,c. >60,2021,315
TRUJILLO,a. <40,2020,12357
TRUJILLO,a. <40,2021,22143
TRUJILLO,b. 40-60,2020,8219
TRUJILLO,b. 40-60,2021,13853
TRUJILLO,c. >60,2020,4648
TRUJILLO,c. >60,2021,7078
TUMBES,a. <40,2020,4043
TUMBES,a. <40,2021,4395
TUMBES,b. 40-60,2020,2217
TUMBES,b. 40-60,2021,2517
TUMBES,c. >60,2020,1097
TUMBES,c. >60,2021,1085
UCAYALI,a. <40,2020,357
UCAYALI,a. <40,2021,148
UCAYALI,b. 40-60,2020,256
UCAYALI,b. 40-60,2021,91
UCAYALI,c. >60,2020,155
UCAYALI,c. >60,2021,66
URUBAMBA,a. <40,2020,286
URUBAMBA,a. <40,2021,839
URUBAMBA,b. 40-60,2020,195
URUBAMBA,b. 40-60,2021,595
URUBAMBA,c. >60,2020,72
URUBAMBA,c. >60,2021,287
UTCUBAMBA,a. <40,2020,2243
UTCUBAMBA,a. <40,2021,1603
UTCUBAMBA,b. 40-60,2020,998
UTCUBAMBA,b. 40-60,2021,1006
UTCUBAMBA,c. >60,2020,485
UTCUBAMBA,c. >60,2021,528
VICTOR FAJARDO,a. <40,2020,88
VICTOR FAJARDO,a. <40,2021,122
VICTOR FAJARDO,b. 40-60,2020,61
VICTOR FAJARDO,b. 40-60,2021,139
VICTOR FAJARDO,c. >60,2020,47
VICTOR FAJARDO,c. >60,2021,81
VILCAS HUAMAN,a. <40,2020,42
VILCAS HUAMAN,a. <40,2021,126
VILCAS HUAMAN,b. 40-60,2020,27
VILCAS HUAMAN,b. 40-60,2021,126
VILCAS HUAMAN,c. >60,2020,23
VILCAS HUAMAN,c. >60,2021,65
VIRU,a. <40,2020,832
VIRU,a. <40,2021,960
VIRU,b. 40-60,2020,401
VIRU,b. 40-60,2021,528
VIRU,c. >60,2020,174
VIRU,c. >60,2021,234
YAROWILCA,a. <40,2020,96
YAROWILCA,a. <40,2021,78
YAROWILCA,b. 40-60,2020,36
YAROWILCA,b. 40-60,2021,57
YAROWILCA,c. >60,2020,20
YAROWILCA,c. >60,2021,43
YAULI,a. <40,2020,558
YAULI,a. <40,2021,770
YAULI,b. 40-60,2020,463
YAULI,b. 40-60,2021,577
YAULI,c. >60,2020,159
YAULI,c. >60,2021,253
YAUYOS,a. <40,2020,103
YAUYOS,a. <40,2021,187
YAUYOS,b. 40-60,2020,75
YAUYOS,b. 40-60,2021,153
YAUYOS,c. >60,2020,56
YAUYOS,c. >60,2021,92
YUNGAY,a. <40,2020,235
YUNGAY,a. <40,2021,523
YUNGAY,b. 40-60,2020,139
YUNGAY,b. 40-60,2021,365
YUNGAY,c. >60,2020,56
YUNGAY,c. >60,2021,192
YUNGUYO,a. <40,2020,115
YUNGUYO,a. <40,2021,288
YUNGUYO,b. 40-60,2020,122
YUNGUYO,b. 40-60,2021,220
YUNGUYO,c. >60,2020,67
YUNGUYO,c. >60,2021,202
ZARUMILLA,a. <40,2020,874
ZARUMILLA,a. <40,2021,815
ZARUMILLA,b. 40-60,2020,470
ZARUMILLA,b. 40-60,2021,562
ZARUMILLA,c. >60,2020,242
ZARUMILLA,c. >60,2021,241
